0,former versace store clerk sues over secret 'black code' for minority shoppers
0,the 'roseanne' revival catches up to our thorny political mood
1,mom starting to fear son's web series closest thing she will have to grandchild
1,boehner just wants wife to listen
0,j.k. rowling wishes snape happy birthday in the most magical way
0,advancing the world's women
0,the fascinating case for eating lab-grown meat
0,this ceo will send your kids to school
1,top snake handler leaves sinking huckabee campaign
0,friday's morning email: inside trump's presser for the ages
0,airline passengers tackle man who rushes cockpit in bomb threat
0,facebook reportedly working on healthcare features and apps
0,north korea praises trump and urges us voters to reject 'dull hillary'
0,actually
0,barcelona holds huge protest in support of refugees
1,nuclear bomb detonates during rehearsal for 'spider-man' musical
1,cosby lawyer asks why accusers didn't come forward to be smeared by legal team years ago
1,stock analysts confused
0,bloomberg's program to build better cities just got bigger
0,craig hicks indicted
1,courtroom sketch artist has clear manga influences
1,trump assures nation that decision for syrian airstrikes came after carefully considering all his passing whims
0,qatar deporting dutch woman who reported she was drugged and raped
0,this is why you shouldn't go to the circus
0,ted cruz hits the panic button: 'we could lose both houses of congress'
0,why writers must plan to be surprised
0,obama visits arlington national cemetery to honor veterans
1,ex-con back behind bar
1,after careful consideration
0,remembrance is the beginning of the task
0,allies: islamist motive for killing nemtsov is nonsense
0,gillian jacobs on what it's like to kiss adam brody
0,uber vows to repay nyc drivers 'tens of millions' after tax snafu
0,apple may have poached electric motorcycle company to death
0,drug-resistant bacteria often lurk in children's
0,if you see a muslim at the airport
1,giant altoid heading toward earth
0,'moana' sails straight to the top of the box office with massive $81.1 million opening
0,selig counted money while baseball lost the next generation of fans
1,robin williams inflicted on holiday moviegoers for eighth straight year
0,devin nunes vows to 'never' reveal source of surveillance claims
0,scott used to stop breathing nearly 40 times an hour. this device changed his life
1,rescuers heroically help beached garbage back into ocean
0,medics drop soccer player from stretcher; he's ticked
0,give the gift of play this holiday season
1,christian bale visits sikh temple victims
0,spicer denies that ending maternity care guarantee would mean women pay more for health care
1,'right to live life in complete
1,nasa now almost positive mars is rocky
1,monster undeterred by night-light
0,diy: sports equipment closet
0,1 dead
1,longtime teacher retires without changing a single student's life
0,donald trump heading for a series of wins in the northeast
1,new 'star wars' film once again disappoints die-hard nien nunb fans
1,bats shooed out of nation's waterslide tunnels in preparation for summer
1,mobile news crew reports on own van breaking down
0,un rights chief calls humanitarian situation in syria 'an outrage'
0,how to track santa claus' flight around the world this christmas eve
1,obama has colorado appraised
1,trouble again in tv's africa
1,brita unveils new in-throat water filters
1,report: john grisham slowly but surely climbing list of greatest living american authors
1,ghost can't make a simple cup of coffee without everyone freaking out
1,tupperware will never truly recover from red curry leftovers
0,one of the planet's most powerful forces for change? an adolescent girl
